token	corpus size	all contexts size	frequency	co-frequency	specificity
угрызения	278991	19521	49	45	46.80
голос	278991	19521	131	54	27.42
такое	278991	19521	266	72	23.11
человека	278991	19521	899	150	22.37
своей	278991	19521	228	65	22.29
человеку	278991	19521	166	54	21.63
Что	278991	19521	213	61	21.09
мучает	278991	19521	23	20	19.95
угрызений	278991	19521	19	17	17.47
Угрызения	278991	19521	14	14	16.17
говорит	278991	19521	113	36	14.40
свою	278991	19521	188	47	14.00
[Зачем	278991	19521	12	12	13.86
голосу	278991	19521	25	17	13.86
человеке	278991	19521	67	26	12.90
человек	278991	19521	511	80	11.03
голосом	278991	19521	22	14	10.92
называется	278991	19521	43	19	10.80
чистой	278991	19521	16	12	10.73
чистую	278991	19521	9	9	10.40
следует	278991	19521	75	24	9.92
Павел	278991	19521	43	18	9.80
чувственная	278991	19521	18	12	9.78
Муки	278991	19521	8	8	9.24
[Что	278991	19521	16	11	9.22
муки	278991	19521	25	13	8.68
мучения	278991	19521	14	10	8.68
чиста	278991	19521	9	8	8.32
ее	278991	19521	298	50	8.24
чувства	278991	19521	126	29	8.11
Наконец	278991	19521	19	11	8.08
чувство	278991	19521	166	34	8.00
рассматриваться	278991	19521	10	8	7.65
чистая	278991	19521	10	8	7.65
О	278991	19521	136	29	7.34
является	278991	19521	406	59	7.26
закон	278991	19521	79	21	7.21
убеждает	278991	19521	8	7	7.21
греховности	278991	19521	8	7	7.21
проявлений	278991	19521	22	11	7.21
свидетельствует	278991	19521	27	12	7.09
уподобил	278991	19521	6	6	6.93
хранении	278991	19521	6	6	6.93
Личная	278991	19521	6	6	6.93
Коллективная	278991	19521	6	6	6.93
Божий	278991	19521	45	15	6.74
голоса	278991	19521	29	12	6.68
очищает	278991	19521	12	8	6.67
пробудить	278991	19521	9	7	6.59
поступили	278991	19521	16	9	6.56
Как	278991	19521	256	41	6.40
обличает	278991	19521	7	6	6.12
грехопадения	278991	19521	10	7	6.10
укоры	278991	19521	10	7	6.10
сердцах	278991	19521	18	9	5.99
воспитания	278991	19521	45	14	5.93
Народные	278991	19521	5	5	5.78
пословицы	278991	19521	5	5	5.78
Бог	278991	19521	60	16	5.69
Библия	278991	19521	11	7	5.69
мук	278991	19521	11	7	5.69
Богом	278991	19521	47	14	5.68
Природа	278991	19521	15	8	5.65
духа	278991	19521	42	13	5.52
Итак	278991	19521	20	9	5.52
дает	278991	19521	69	17	5.50
стыда	278991	19521	56	15	5.41
указывает	278991	19521	37	12	5.38
угрызениями	278991	19521	12	7	5.34
хранить	278991	19521	12	7	5.34
воли	278991	19521	52	14	5.12
против	278991	19521	33	11	5.11
мучить	278991	19521	13	7	5.04
Через	278991	19521	13	7	5.04
обвиняют	278991	19521	6	5	5.03
заговорила	278991	19521	6	5	5.03
компас	278991	19521	6	5	5.03
хранение	278991	19521	6	5	5.03
одна	278991	19521	61	15	4.93
–	278991	19521	785	86	4.89
нужна	278991	19521	35	11	4.84
Бога	278991	19521	77	17	4.84
души	278991	19521	77	17	4.84
начинает	278991	19521	55	14	4.83
Писании	278991	19521	14	7	4.77
которым	278991	19521	42	12	4.76
образом	278991	19521	201	31	4.74
умом	278991	19521	10	6	4.73
Святитель	278991	19521	10	6	4.73
сторона	278991	19521	19	8	4.71
закона	278991	19521	57	14	4.64
намерениям	278991	19521	4	4	4.62
пренебрежение	278991	19521	4	4	4.62
диктовали	278991	19521	4	4	4.62
(Ев	278991	19521	4	4	4.62
чуткости	278991	19521	4	4	4.62
Некоторый	278991	19521	4	4	4.62
почек»	278991	19521	4	4	4.62
А ещё	278991	19521	4	4	4.62
бомбу	278991	19521	4	4	4.62
отцы	278991	19521	4	4	4.62
нечистой	278991	19521	4	4	4.62
испытывал	278991	19521	4	4	4.62
обвиняющие	278991	19521	4	4	4.62
Чистая	278991	19521	4	4	4.62
библейской	278991	19521	4	4	4.62
ума	278991	19521	25	9	4.59
каждого	278991	19521	65	15	4.59
написано	278991	19521	15	7	4.53
апостол	278991	19521	15	7	4.53
нравственное	278991	19521	20	8	4.52
чистоты	278991	19521	7	5	4.52
мертвых	278991	19521	7	5	4.52
учений	278991	19521	7	5	4.52
послании	278991	19521	7	5	4.52
Йешилдал	278991	19521	7	5	4.52
лукавая	278991	19521	7	5	4.52
требований	278991	19521	11	6	4.42
внешнему	278991	19521	11	6	4.42
нашу	278991	19521	21	8	4.34
внутренний	278991	19521	76	16	4.34
понятие	278991	19521	76	16	4.34
прислушиваться	278991	19521	16	7	4.31
часто	278991	19521	110	20	4.30
отсутствие	278991	19521	27	9	4.29
считает	278991	19521	40	11	4.26
Если	278991	19521	275	37	4.22
вины	278991	19521	95	18	4.17
выражает	278991	19521	12	6	4.15
честь	278991	19521	8	5	4.12
правильного	278991	19521	8	5	4.12
христианстве	278991	19521	8	5	4.12
Является	278991	19521	8	5	4.12
становится	278991	19521	88	17	4.09
совершенно	278991	19521	64	14	4.07
Есть	278991	19521	43	11	3.95
проповеди	278991	19521	5	4	3.95
страстями	278991	19521	5	4	3.95
падения	278991	19521	5	4	3.95
Изучением	278991	19521	5	4	3.95
обнаруживают	278991	19521	5	4	3.95
временной	278991	19521	5	4	3.95
Сократа	278991	19521	5	4	3.95
(греч	278991	19521	5	4	3.95
схоластической	278991	19521	5	4	3.95
божественный	278991	19521	5	4	3.95
«муки	278991	19521	5	4	3.95
Три	278991	19521	5	4	3.95
заблуждения	278991	19521	5	4	3.95
сожженной	278991	19521	5	4	3.95
попирает	278991	19521	5	4	3.95
гордыни	278991	19521	5	4	3.95
кричит	278991	19521	5	4	3.95
оправдывающие	278991	19521	5	4	3.95
долг	278991	19521	5	4	3.95
коллективной	278991	19521	5	4	3.95
Храни	278991	19521	5	4	3.95
нашей	278991	19521	82	16	3.94
слышать	278991	19521	13	6	3.92
плод	278991	19521	13	6	3.92
проявление	278991	19521	24	8	3.88
анализ	278991	19521	24	8	3.88
испытывать	278991	19521	24	8	3.88
перед	278991	19521	137	22	3.85
формируется	278991	19521	52	12	3.81
Библии	278991	19521	9	5	3.80
твоя	278991	19521	9	5	3.80
удовлетворения	278991	19521	19	7	3.76
силой	278991	19521	25	8	3.74
личной	278991	19521	25	8	3.74
Феофан	278991	19521	25	8	3.74
который	278991	19521	281	36	3.74
выше	278991	19521	46	11	3.68
действие	278991	19521	46	11	3.68
объясняет	278991	19521	26	8	3.61
избавиться	278991	19521	26	8	3.61
такая	278991	19521	20	7	3.61
поступки	278991	19521	115	19	3.59
человеческой	278991	19521	40	10	3.57
чистоту	278991	19521	10	5	3.53
причём	278991	19521	10	5	3.53
практическим	278991	19521	10	5	3.53
отмечает	278991	19521	10	5	3.53
Таким	278991	19521	72	14	3.52
современном	278991	19521	15	6	3.51
элемент	278991	19521	15	6	3.51
оправдывают	278991	19521	6	4	3.51
проявлением	278991	19521	6	4	3.51
совершенствоваться	278991	19521	6	4	3.51
Сенека	278991	19521	6	4	3.51
долга	278991	19521	6	4	3.51
иврите	278991	19521	6	4	3.51
Махир	278991	19521	6	4	3.51
берется	278991	19521	6	4	3.51
Формирование	278991	19521	6	4	3.51
интегральной	278991	19521	6	4	3.51
грех	278991	19521	56	12	3.50
самости	278991	19521	27	8	3.49
Нагорной	278991	19521	3	3	3.47
(глазу)	278991	19521	3	3	3.47
примириться	278991	19521	3	3	3.47
отличительное	278991	19521	3	3	3.47
другую»	278991	19521	3	3	3.47
свидетельству	278991	19521	3	3	3.47
засвидетельствует	278991	19521	3	3	3.47
добродетельную	278991	19521	3	3	3.47
,омраченный	278991	19521	3	3	3.47
писанным	278991	19521	3	3	3.47
утратили	278991	19521	3	3	3.47
предал	278991	19521	3	3	3.47
повторные	278991	19521	3	3	3.47
омрачают	278991	19521	3	3	3.47
душевными	278991	19521	3	3	3.47
Внимательное	278991	19521	3	3	3.47
волевая	278991	19521	3	3	3.47
наблюдаем	278991	19521	3	3	3.47
осуществлением	278991	19521	3	3	3.47
Несомненно	278991	19521	3	3	3.47
стоящей	278991	19521	3	3	3.47
запятнавшему	278991	19521	3	3	3.47
навеки	278991	19521	3	3	3.47
взращивать	278991	19521	3	3	3.47
нелегко	278991	19521	3	3	3.47
непреложный	278991	19521	3	3	3.47
указатель	278991	19521	3	3	3.47
наклонностями	278991	19521	3	3	3.47
живую	278991	19521	3	3	3.47
силлогизмом	278991	19521	3	3	3.47
мацпэн	278991	19521	3	3	3.47
компасу	278991	19521	3	3	3.47
живущий	278991	19521	3	3	3.47
гласом	278991	19521	3	3	3.47
общественная	278991	19521	3	3	3.47
сбросивший	278991	19521	3	3	3.47
разбудить	278991	19521	3	3	3.47
“от	278991	19521	3	3	3.47
дел”	278991	19521	3	3	3.47
порокам	278991	19521	3	3	3.47
попирая	278991	19521	3	3	3.47
сжигает	278991	19521	3	3	3.47
примирение	278991	19521	3	3	3.47
судьей	278991	19521	3	3	3.47
(1Пт	278991	19521	3	3	3.47
личная	278991	19521	3	3	3.47
пробудилась	278991	19521	3	3	3.47
нужна]Если	278991	19521	3	3	3.47
чрезмерно	278991	19521	3	3	3.47
делать	278991	19521	110	18	3.39
свойством	278991	19521	28	8	3.38
служит	278991	19521	28	8	3.38
другими	278991	19521	58	12	3.36
Наличие	278991	19521	16	6	3.34
Ибо	278991	19521	16	6	3.34
действовать	278991	19521	43	10	3.31
видим	278991	19521	29	8	3.27
прямо	278991	19521	29	8	3.27
свободы	278991	19521	29	8	3.27
радости	278991	19521	17	6	3.18
главным	278991	19521	17	6	3.18
учение	278991	19521	17	6	3.18
отчетливо	278991	19521	7	4	3.17
поступали	278991	19521	7	4	3.17
яркий	278991	19521	7	4	3.17
природным	278991	19521	7	4	3.17
наблюдение	278991	19521	7	4	3.17
наличием	278991	19521	7	4	3.17
выгодно	278991	19521	7	4	3.17
понуждает	278991	19521	7	4	3.17
благодатной	278991	19521	7	4	3.17
взросления	278991	19521	7	4	3.17
очистить	278991	19521	7	4	3.17
терзания	278991	19521	7	4	3.17
удовлетворению	278991	19521	7	4	3.17
ошибки	278991	19521	30	8	3.17
нравственности	278991	19521	45	10	3.15
взаимоотношения	278991	19521	12	5	3.10
Стыд	278991	19521	12	5	3.10
судит	278991	19521	12	5	3.10
Черчланд	278991	19521	12	5	3.10
источник	278991	19521	18	6	3.04
точки	278991	19521	90	15	3.03
оценивать	278991	19521	39	9	3.02
поступать	278991	19521	25	7	2.97
действительно	278991	19521	40	9	2.94
правильно	278991	19521	40	9	2.94
зрения	278991	19521	121	18	2.93
вере	278991	19521	13	5	2.92
говорил	278991	19521	19	6	2.91
причине	278991	19521	19	6	2.91
свидетельствуют	278991	19521	8	4	2.90
наказывает	278991	19521	8	4	2.90
Павла	278991	19521	8	4	2.90
религиозной	278991	19521	8	4	2.90
Святого	278991	19521	8	4	2.90
испытывают	278991	19521	8	4	2.90
сожалеть	278991	19521	4	3	2.89
называемый	278991	19521	4	3	2.89
нечиста	278991	19521	4	3	2.89
повествует	278991	19521	4	3	2.89
перестал	278991	19521	4	3	2.89
ежедневных	278991	19521	4	3	2.89
побуждала	278991	19521	4	3	2.89
заслуживающие	278991	19521	4	3	2.89
действуя	278991	19521	4	3	2.89
Обращаясь	278991	19521	4	3	2.89
волевое	278991	19521	4	3	2.89
грешному	278991	19521	4	3	2.89
обреченным	278991	19521	4	3	2.89
Злая	278991	19521	4	3	2.89
палача	278991	19521	4	3	2.89
самоудовлетворенности	278991	19521	4	3	2.89
Фома	278991	19521	4	3	2.89
Гитлер	278991	19521	4	3	2.89
глас	278991	19521	4	3	2.89
Суперэго	278991	19521	4	3	2.89
порочной	278991	19521	4	3	2.89
Лукавая	278991	19521	4	3	2.89
своей»	278991	19521	4	3	2.89
крик	278991	19521	4	3	2.89
Честь	278991	19521	4	3	2.89
развитой	278991	19521	4	3	2.89
совесть)	278991	19521	4	3	2.89
искаженная	278991	19521	4	3	2.89
Чернавин	278991	19521	4	3	2.89
стороны	278991	19521	93	15	2.89
жизни	278991	19521	316	36	2.89
стыд	278991	19521	33	8	2.89
внутреннее	278991	19521	33	8	2.89
чувством	278991	19521	34	8	2.80
отношениях	278991	19521	20	6	2.78
нравственный	278991	19521	27	7	2.77
Божиим	278991	19521	14	5	2.76
инстинктов	278991	19521	14	5	2.76
путь	278991	19521	51	10	2.74
моральных	278991	19521	35	8	2.72
имеет	278991	19521	158	21	2.71
люди	278991	19521	191	24	2.69
Когда	278991	19521	98	15	2.68
слышит	278991	19521	9	4	2.68
справедливость	278991	19521	9	4	2.68
волей	278991	19521	9	4	2.68
стороне	278991	19521	9	4	2.68
иная	278991	19521	9	4	2.68
веру	278991	19521	9	4	2.68
словами	278991	19521	52	10	2.68
говорится	278991	19521	21	6	2.67
будет	278991	19521	203	25	2.66
значит	278991	19521	89	14	2.65
формирование	278991	19521	36	8	2.64
Однако	278991	19521	99	15	2.64
находит	278991	19521	15	5	2.61
всякого	278991	19521	15	5	2.61
ясности	278991	19521	15	5	2.61
правильный	278991	19521	15	5	2.61
отметить	278991	19521	15	5	2.61
дух	278991	19521	29	7	2.59
нравственных	278991	19521	29	7	2.59
разум	278991	19521	45	9	2.58
силы	278991	19521	37	8	2.57
Подобные	278991	19521	22	6	2.56
философских	278991	19521	22	6	2.56
называет	278991	19521	22	6	2.56
Божией	278991	19521	22	6	2.56
необходимо	278991	19521	63	11	2.56
наименование	278991	19521	5	3	2.53
зверь	278991	19521	5	3	2.53
похвалы	278991	19521	5	3	2.53
бессмертия	278991	19521	5	3	2.53
познавательная	278991	19521	5	3	2.53
воздействует	278991	19521	5	3	2.53
доводов	278991	19521	5	3	2.53
волевой	278991	19521	5	3	2.53
неисполнение	278991	19521	5	3	2.53
очищению	278991	19521	5	3	2.53
таинствах	278991	19521	5	3	2.53
причастия	278991	19521	5	3	2.53
руководит	278991	19521	5	3	2.53
слезы	278991	19521	5	3	2.53
Нужна	278991	19521	5	3	2.53
ложной	278991	19521	5	3	2.53
безусловный	278991	19521	5	3	2.53
церкви	278991	19521	5	3	2.53
отводится	278991	19521	5	3	2.53
анализе	278991	19521	5	3	2.53
корень	278991	19521	5	3	2.53
мацпун	278991	19521	5	3	2.53
доцент	278991	19521	5	3	2.53
описывал	278991	19521	5	3	2.53
внимательными	278991	19521	5	3	2.53
спокойной	278991	19521	5	3	2.53
заблуждение	278991	19521	5	3	2.53
исправлять	278991	19521	5	3	2.53
свидетеля	278991	19521	5	3	2.53
эгоизмом	278991	19521	5	3	2.53
пробуждение	278991	19521	5	3	2.53
удовлетворять	278991	19521	5	3	2.53
учениям	278991	19521	5	3	2.53
Небесами	278991	19521	5	3	2.53
Голос	278991	19521	5	3	2.53
Каким	278991	19521	5	3	2.53
законодателя	278991	19521	5	3	2.53
зависит	278991	19521	46	9	2.52
обладает	278991	19521	55	10	2.50
стоит	278991	19521	30	7	2.50
первый	278991	19521	30	7	2.50
явлений	278991	19521	38	8	2.50
судья	278991	19521	10	4	2.49
доброй	278991	19521	10	4	2.49
подробно	278991	19521	16	5	2.48
нравственного	278991	19521	39	8	2.43
Божия	278991	19521	31	7	2.42
основных	278991	19521	31	7	2.42
всегда	278991	19521	147	19	2.41
законам	278991	19521	24	6	2.37
лежит	278991	19521	17	5	2.36
Господь	278991	19521	32	7	2.35
вида	278991	19521	32	7	2.35
ибо	278991	19521	49	9	2.34
того	278991	19521	346	36	2.33
убедить	278991	19521	11	4	2.32
называть	278991	19521	11	4	2.32
Впрочем	278991	19521	11	4	2.32
основным	278991	19521	11	4	2.32
совесть —	278991	19521	11	4	2.32
способна	278991	19521	11	4	2.32
страстей	278991	19521	11	4	2.32
сильнее	278991	19521	11	4	2.32
совершил	278991	19521	11	4	2.32
противиться	278991	19521	2	2	2.31
(Мк	278991	19521	2	2	2.31
образно	278991	19521	2	2	2.31
Когтистый	278991	19521	2	2	2.31
Незваный	278991	19521	2	2	2.31
гость	278991	19521	2	2	2.31
докучный	278991	19521	2	2	2.31
Заимодавец	278991	19521	2	2	2.31
грубый	278991	19521	2	2	2.31
ведьма	278991	19521	2	2	2.31
изобразил	278991	19521	2	2	2.31
жалок	278991	19521	2	2	2.31
доверяем	278991	19521	2	2	2.31
выявляет	278991	19521	2	2	2.31
приведем	278991	19521	2	2	2.31
делаются	278991	19521	2	2	2.31
нестерпимыми	278991	19521	2	2	2.31
Иуде-предателе	278991	19521	2	2	2.31
повесился	278991	19521	2	2	2.31
невинность	278991	19521	2	2	2.31
опору	278991	19521	2	2	2.31
надежды	278991	19521	2	2	2.31
дел»	278991	19521	2	2	2.31
Пословицы	278991	19521	2	2	2.31
сильны	278991	19521	2	2	2.31
«внутренний	278991	19521	2	2	2.31
персоналом	278991	19521	2	2	2.31
Представить	278991	19521	2	2	2.31
этико-религиозными	278991	19521	2	2	2.31
Ближайшим	278991	19521	2	2	2.31
служило	278991	19521	2	2	2.31
